,end,val,accn,fy,fp,form,filed,frame,fact,start
32,2013-02-03,37231000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,PrepaidAdvertising,
43,2014-02-02,33556000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,PrepaidAdvertising,
54,2015-02-01,33942000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,PrepaidAdvertising,
65,2016-01-31,28919000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,PrepaidAdvertising,
76,2017-01-29,23625000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,PrepaidAdvertising,
87,2018-01-28,20517000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,PrepaidAdvertising,
92,2019-02-03,0.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2018Q4I,PrepaidAdvertising,
4,2010-01-31,22109000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,PrepaidExpenseCurrent,
14,2011-01-30,21120000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,PrepaidExpenseCurrent,
25,2012-01-29,24188000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,PrepaidExpenseCurrent,
36,2013-02-03,26339000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,PrepaidExpenseCurrent,
47,2014-02-02,35309000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,PrepaidExpenseCurrent,
58,2015-02-01,36265000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,PrepaidExpenseCurrent,
69,2016-01-31,44654000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,PrepaidExpenseCurrent,
80,2017-01-29,52882000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,PrepaidExpenseCurrent,
91,2018-01-28,62204000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,PrepaidExpenseCurrent,
102,2019-02-03,101356000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,PrepaidExpenseCurrent,
113,2020-02-02,90426000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,PrepaidExpenseCurrent,
124,2021-01-31,93822000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,PrepaidExpenseCurrent,
135,2022-01-30,69252000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,PrepaidExpenseCurrent,
0,2010-01-31,0.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009,ProceedsFromInsuranceSettlementInvestingActivities,2009-02-02
2,2011-01-30,0.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2010,ProceedsFromInsuranceSettlementInvestingActivities,2010-02-01
6,2012-01-29,751000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011,ProceedsFromInsuranceSettlementInvestingActivities,2011-01-31
13,2013-02-03,115000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2012,ProceedsFromInsuranceSettlementInvestingActivities,2012-02-01
19,2014-02-02,1518000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2013,ProceedsFromInsuranceSettlementInvestingActivities,2013-02-04
23,2015-02-01,1644000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014,ProceedsFromInsuranceSettlementInvestingActivities,2014-02-03
25,2016-01-31,683000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2015,ProceedsFromInsuranceSettlementInvestingActivities,2015-02-02
0,2018-01-28,300000000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2017,ProceedsFromIssuanceOfLongTermDebt,2017-01-29
3,2019-02-03,0.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2018,ProceedsFromIssuanceOfLongTermDebt,2018-01-29
0,2013-02-03,0.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2012,ProceedsFromLinesOfCredit,2012-02-01
2,2014-02-02,0.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013,ProceedsFromLinesOfCredit,2013-02-04
9,2015-02-01,90000000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2014,ProceedsFromLinesOfCredit,2014-02-03
18,2016-01-31,200000000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2015,ProceedsFromLinesOfCredit,2015-02-02
27,2017-01-29,125000000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2016,ProceedsFromLinesOfCredit,2016-02-01
34,2018-01-28,170000000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2017,ProceedsFromLinesOfCredit,2017-01-29
41,2019-02-03,60000000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2018,ProceedsFromLinesOfCredit,2018-01-29
48,2020-02-02,100000000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2019,ProceedsFromLinesOfCredit,2019-02-04
57,2021-01-31,487823000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2020,ProceedsFromLinesOfCredit,2020-02-03
62,2022-01-30,0.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021,ProceedsFromLinesOfCredit,2021-02-01
63,2023-01-29,0.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022,ProceedsFromLinesOfCredit,2022-01-31
0,2009-02-01,-1520000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2008,ProceedsFromPaymentsForOtherFinancingActivities,2008-02-04
3,2010-01-31,-35000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009,ProceedsFromPaymentsForOtherFinancingActivities,2009-02-02
9,2011-01-30,-1625000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2010,ProceedsFromPaymentsForOtherFinancingActivities,2010-02-01
16,2012-01-29,-86000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2011,ProceedsFromPaymentsForOtherFinancingActivities,2011-01-31
25,2013-02-03,-405000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2012,ProceedsFromPaymentsForOtherFinancingActivities,2012-02-01
31,2014-02-02,-58000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2013,ProceedsFromPaymentsForOtherFinancingActivities,2013-02-04
40,2015-02-01,-760000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2014,ProceedsFromPaymentsForOtherFinancingActivities,2014-02-03
46,2016-01-31,-135000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015,ProceedsFromPaymentsForOtherFinancingActivities,2015-02-02
54,2017-01-29,-359000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2016,ProceedsFromPaymentsForOtherFinancingActivities,2016-02-01
57,2018-01-28,-1197000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2017,ProceedsFromPaymentsForOtherFinancingActivities,2017-01-29
60,2019-02-03,0.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2018,ProceedsFromPaymentsForOtherFinancingActivities,2018-01-29
0,2009-02-01,47257000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2008,ProceedsFromSaleOfPropertyPlantAndEquipment,2008-02-04
3,2010-01-31,1033000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009,ProceedsFromSaleOfPropertyPlantAndEquipment,2009-02-02
9,2011-01-30,10823000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2010,ProceedsFromSaleOfPropertyPlantAndEquipment,2010-02-01
15,2012-01-29,81000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011,ProceedsFromSaleOfPropertyPlantAndEquipment,2011-01-31
18,2013-02-03,182000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2012,ProceedsFromSaleOfPropertyPlantAndEquipment,2012-01-30
0,2009-02-01,461000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2008,ProceedsFromStockOptionsExercised,2008-02-04
3,2010-01-31,11861000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009,ProceedsFromStockOptionsExercised,2009-02-02
10,2011-01-30,15736000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2010,ProceedsFromStockOptionsExercised,2010-02-01
19,2012-01-29,9614000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2011,ProceedsFromStockOptionsExercised,2011-01-31
30,2013-02-03,14637000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2012,ProceedsFromStockOptionsExercised,2012-02-01
37,2014-02-02,6614000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2013,ProceedsFromStockOptionsExercised,2013-02-04
46,2015-02-01,4077000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2014,ProceedsFromStockOptionsExercised,2014-02-03
55,2016-01-31,2647000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2015,ProceedsFromStockOptionsExercised,2015-02-02
64,2017-01-29,1532000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2016,ProceedsFromStockOptionsExercised,2016-02-01
67,2018-01-28,0.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017,ProceedsFromStockOptionsExercised,2017-01-30
69,2019-02-03,0.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2018,ProceedsFromStockOptionsExercised,2018-01-29
0,2017-01-29,305387000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2016,ProfitLoss,2016-02-01
3,2018-01-28,259545000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2017,ProfitLoss,2017-01-29
12,2019-02-03,333684000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2018,ProfitLoss,2018-01-29
21,2020-02-02,356062000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2019,ProfitLoss,2019-02-04
30,2021-01-31,680714000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2020,ProfitLoss,2020-02-03
38,2022-01-30,1126337000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021,ProfitLoss,2021-02-01
44,2023-01-29,1127904000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022,ProfitLoss,2022-01-31
0,2011-01-30,1858049000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,PropertyPlantAndEquipmentGross,
2,2012-01-29,1934477000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,PropertyPlantAndEquipmentGross,
4,2013-02-03,2094942000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,PropertyPlantAndEquipmentGross,
6,2014-02-02,2231768000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,PropertyPlantAndEquipmentGross,
8,2015-02-01,2269477000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,PropertyPlantAndEquipmentGross,
10,2016-01-31,2341120000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,PropertyPlantAndEquipmentGross,
12,2017-01-29,2509322000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,PropertyPlantAndEquipmentGross,
14,2018-01-28,2619112000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,PropertyPlantAndEquipmentGross,
16,2019-02-03,2742402000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,PropertyPlantAndEquipmentGross,
18,2020-02-02,2812388000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,PropertyPlantAndEquipmentGross,
20,2021-01-31,2827869000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,PropertyPlantAndEquipmentGross,
22,2022-01-30,2983108000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,PropertyPlantAndEquipmentGross,
23,2023-01-29,3219390000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022Q4I,PropertyPlantAndEquipmentGross,
4,2010-01-31,829027000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,PropertyPlantAndEquipmentNet,
14,2011-01-30,730556000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,PropertyPlantAndEquipmentNet,
25,2012-01-29,734672000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,PropertyPlantAndEquipmentNet,
36,2013-02-03,812037000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,PropertyPlantAndEquipmentNet,
47,2014-02-02,849293000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,PropertyPlantAndEquipmentNet,
58,2015-02-01,883012000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,PropertyPlantAndEquipmentNet,
69,2016-01-31,886813000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,PropertyPlantAndEquipmentNet,
80,2017-01-29,923283000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,PropertyPlantAndEquipmentNet,
91,2018-01-28,932283000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,PropertyPlantAndEquipmentNet,
102,2019-02-03,929635000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,PropertyPlantAndEquipmentNet,
113,2020-02-02,929038000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,PropertyPlantAndEquipmentNet,
124,2021-01-31,873894000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,PropertyPlantAndEquipmentNet,
135,2022-01-30,920773000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,PropertyPlantAndEquipmentNet,
4,2010-01-31,44187000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,ReceivablesNetCurrent,
14,2011-01-30,41565000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,ReceivablesNetCurrent,
25,2012-01-29,45961000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,ReceivablesNetCurrent,
36,2013-02-03,62985000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,ReceivablesNetCurrent,
47,2014-02-02,60330000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,ReceivablesNetCurrent,
58,2015-02-01,67465000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,ReceivablesNetCurrent,
69,2016-01-31,79304000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,ReceivablesNetCurrent,
80,2017-01-29,88803000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,ReceivablesNetCurrent,
91,2018-01-28,90119000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,ReceivablesNetCurrent,
102,2019-02-03,107102000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,ReceivablesNetCurrent,
113,2020-02-02,111737000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,ReceivablesNetCurrent,
124,2021-01-31,143728000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,ReceivablesNetCurrent,
135,2022-01-30,131683000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,ReceivablesNetCurrent,
0,2009-02-01,195800000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2008,RepaymentsOfLinesOfCredit,2008-02-04
1,2010-01-31,0.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009,RepaymentsOfLinesOfCredit,2009-02-02
2,2011-01-30,0.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2010,RepaymentsOfLinesOfCredit,2010-02-01
3,2013-02-03,0.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2012,RepaymentsOfLinesOfCredit,2012-02-01
4,2014-02-02,0.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013,RepaymentsOfLinesOfCredit,2013-02-04
7,2015-02-01,90000000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2014,RepaymentsOfLinesOfCredit,2014-02-03
10,2016-01-31,200000000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2015,RepaymentsOfLinesOfCredit,2015-02-02
13,2017-01-29,125000000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2016,RepaymentsOfLinesOfCredit,2016-02-01
14,2018-01-28,170000000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2017,RepaymentsOfLinesOfCredit,2017-01-29
19,2019-02-03,60000000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2018,RepaymentsOfLinesOfCredit,2018-01-29
22,2020-02-02,100000000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2019,RepaymentsOfLinesOfCredit,2019-02-04
26,2021-01-31,487823000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2020,RepaymentsOfLinesOfCredit,2020-02-03
29,2022-01-30,0.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021,RepaymentsOfLinesOfCredit,2021-02-01
30,2023-01-29,0.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022,RepaymentsOfLinesOfCredit,2022-01-31
0,2009-02-01,1617000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2008,RepaymentsOfLongTermDebt,2008-02-04
4,2010-01-31,14702000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009,RepaymentsOfLongTermDebt,2009-02-02
12,2011-01-30,1587000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2010,RepaymentsOfLongTermDebt,2010-02-01
21,2012-01-29,1626000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2011,RepaymentsOfLongTermDebt,2011-01-31
30,2013-02-03,1796000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2012,RepaymentsOfLongTermDebt,2012-02-01
39,2014-02-02,1724000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2013,RepaymentsOfLongTermDebt,2013-02-04
47,2015-02-01,1785000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2014,RepaymentsOfLongTermDebt,2014-02-03
54,2016-01-31,1968000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2015,RepaymentsOfLongTermDebt,2015-02-02
55,2020-02-02,0.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2019,RepaymentsOfLongTermDebt,2019-02-04
60,2021-01-31,0.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2020,RepaymentsOfLongTermDebt,2020-02-03
68,2022-01-30,300000000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021,RepaymentsOfLongTermDebt,2021-02-01
72,2023-01-29,0.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022,RepaymentsOfLongTermDebt,2022-01-31
2,2010-01-31,0.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,RestrictedCashAndCashEquivalentsAtCarryingValue,
10,2011-01-30,12512000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,RestrictedCashAndCashEquivalentsAtCarryingValue,
21,2012-01-29,14732000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,RestrictedCashAndCashEquivalentsAtCarryingValue,
32,2013-02-03,16055000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,RestrictedCashAndCashEquivalentsAtCarryingValue,
43,2014-02-02,14289000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,RestrictedCashAndCashEquivalentsAtCarryingValue,
55,2016-01-31,0.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2015Q4I,RestrictedCashAndCashEquivalentsAtCarryingValue,
4,2010-01-31,751290000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,RetainedEarningsAccumulatedDeficit,
14,2011-01-30,777939000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,RetainedEarningsAccumulatedDeficit,
25,2012-01-29,762947000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,RetainedEarningsAccumulatedDeficit,
36,2013-02-03,790912000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,RetainedEarningsAccumulatedDeficit,
47,2014-02-02,729043000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,RetainedEarningsAccumulatedDeficit,
58,2015-02-01,701214000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,RetainedEarningsAccumulatedDeficit,
69,2016-01-31,668545000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,RetainedEarningsAccumulatedDeficit,
80,2017-01-29,701702000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,RetainedEarningsAccumulatedDeficit,
91,2018-01-28,647422000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,RetainedEarningsAccumulatedDeficit,
102,2019-02-03,584333000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,RetainedEarningsAccumulatedDeficit,
113,2020-02-02,644794000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,RetainedEarningsAccumulatedDeficit,
124,2021-01-31,1019762000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,RetainedEarningsAccumulatedDeficit,
135,2022-01-30,1074084000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,RetainedEarningsAccumulatedDeficit,
0,2017-01-29,5083812000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2016,RevenueFromContractWithCustomerExcludingAssessedTax,2016-02-01
5,2018-01-28,5292359000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2017,RevenueFromContractWithCustomerExcludingAssessedTax,2017-01-29
7,2018-04-29,1203000000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q1,RevenueFromContractWithCustomerExcludingAssessedTax,2018-01-29
13,2018-07-29,1275174000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q2,RevenueFromContractWithCustomerExcludingAssessedTax,2018-04-30
18,2018-10-28,1356983000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q3,RevenueFromContractWithCustomerExcludingAssessedTax,2018-07-30
21,2019-02-03,5671593000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2018,RevenueFromContractWithCustomerExcludingAssessedTax,2018-01-29
22,2019-02-03,1836436000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4,RevenueFromContractWithCustomerExcludingAssessedTax,2018-10-29
38,2020-02-02,5898008000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2019,RevenueFromContractWithCustomerExcludingAssessedTax,2019-02-04
39,2020-02-02,1843590000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2019Q4,RevenueFromContractWithCustomerExcludingAssessedTax,2019-11-04
52,2021-01-31,6783189000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2020,RevenueFromContractWithCustomerExcludingAssessedTax,2020-02-03
64,2022-01-30,8245936000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021,RevenueFromContractWithCustomerExcludingAssessedTax,2021-02-01
73,2023-01-29,8674417000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022,RevenueFromContractWithCustomerExcludingAssessedTax,2022-01-31
0,2009-02-01,3361472000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2008,SalesRevenueNet,2008-02-04
5,2010-01-31,3102704000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009,SalesRevenueNet,2009-02-02
7,2010-05-02,717637000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q1,SalesRevenueNet,2010-02-01
11,2010-08-01,775554000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q2,SalesRevenueNet,2010-05-03
16,2010-10-31,815516000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q3,SalesRevenueNet,2010-08-02
19,2011-01-30,3504158000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2010,SalesRevenueNet,2010-02-01
22,2011-01-30,1195451000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4,SalesRevenueNet,2010-11-01
23,2011-05-01,770825000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q1,SalesRevenueNet,2011-01-31
29,2011-07-31,814750000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q2,SalesRevenueNet,2011-05-02
35,2011-10-30,867176000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q3,SalesRevenueNet,2011-08-01
39,2012-01-29,3720895000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2011,SalesRevenueNet,2011-01-31
42,2012-01-29,1268144000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4,SalesRevenueNet,2011-10-31
44,2012-04-29,817614000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q1,SalesRevenueNet,2012-01-30
50,2012-07-29,874283000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q2,SalesRevenueNet,2012-04-30
56,2012-10-28,944554000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q3,SalesRevenueNet,2012-07-30
62,2013-02-03,4042870000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2012,SalesRevenueNet,2012-02-01
63,2013-02-03,1406419000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4,SalesRevenueNet,2012-10-29
78,2014-02-02,4387889000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2013,SalesRevenueNet,2013-02-04
81,2014-02-02,1466324000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2013Q4,SalesRevenueNet,2013-11-04
92,2015-02-01,4698719000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2014,SalesRevenueNet,2014-02-03
105,2016-01-31,4976090000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2015,SalesRevenueNet,2015-02-02
118,2017-01-29,5083812000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016,SalesRevenueNet,2016-02-01
126,2018-01-28,5292359000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2017,SalesRevenueNet,2017-01-30
0,2011-01-30,19122000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,SelfInsuranceReserve,
2,2012-01-29,19103000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,SelfInsuranceReserve,
4,2013-02-03,20275000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,SelfInsuranceReserve,
6,2014-02-02,21755000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,SelfInsuranceReserve,
8,2015-02-01,24901000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,SelfInsuranceReserve,
10,2016-01-31,25290000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,SelfInsuranceReserve,
